src,predicate,dst,deliveries,runs,dismissals
abdul-samad,dismissed_by,ad-russell,,,2
abdul-samad,dismissed_by,arshdeep-singh,,,2
abdul-samad,dismissed_by,ashok-sharma,,,1
abdul-samad,dismissed_by,avesh-khan,,,2
abdul-samad,dismissed_by,jasprit-bumrah,,,2
abdul-samad,dismissed_by,josh-hazlewood,,,1
abdul-samad,dismissed_by,kagiso-rabada,,,2
abdul-samad,dismissed_by,krunal-pandya,,,1
abdul-samad,dismissed_by,lockie-ferguson,,,1
abdul-samad,dismissed_by,marco-jansen,,,1
abdul-samad,dismissed_by,mukesh-kumar,,,2
abdul-samad,dismissed_by,ravi-bishnoi,,,2
abdul-samad,dismissed_by,shardul-thakur,,,1
abdul-samad,dismissed_by,thangarasu-natarajan,,,1
abdul-samad,dismissed_by,trent-boult,,,1
abdul-samad,dismissed_by,yuzvendra-chahal,,,2
abdul-samad,faced,ad-russell,12,19,2
abdul-samad,faced,anrich-nortje,16,37,0
abdul-samad,faced,arshdeep-singh,20,38,2
abdul-samad,faced,ashok-sharma,5,2,1
abdul-samad,faced,avesh-khan,7,14,2
abdul-samad,faced,axar-patel,14,9,0
abdul-samad,faced,cameron-green,5,1,0
abdul-samad,faced,dj-bravo,5,6,0
abdul-samad,faced,eshan-malinga,9,14,0
abdul-samad,faced,harshal-patel,16,34,0
abdul-samad,faced,jasprit-bumrah,11,21,2
abdul-samad,faced,jaydev-unadkat,7,14,0
abdul-samad,faced,josh-hazlewood,6,9,1
abdul-samad,faced,kagiso-rabada,18,27,2
abdul-samad,faced,khaleel-ahmed,6,15,0
abdul-samad,faced,krunal-pandya,13,11,1
abdul-samad,faced,kuldeep-yadav,11,15,0
abdul-samad,faced,lockie-ferguson,9,13,1
abdul-samad,faced,marco-jansen,18,24,1
abdul-samad,faced,marcus-stoinis,8,18,0
abdul-samad,faced,matheesha-pathirana,9,16,0
abdul-samad,faced,mitchell-starc,6,2,0
abdul-samad,faced,mukesh-kumar,7,7,2
abdul-samad,faced,navdeep-saini,7,16,0
abdul-samad,faced,pat-cummins,8,23,0
abdul-samad,faced,rahul-chahar,6,8,0
abdul-samad,faced,rashid-khan,11,9,0
abdul-samad,faced,ravi-bishnoi,7,8,2
abdul-samad,faced,ravindra-jadeja,8,6,0
abdul-samad,faced,sandeep-sharma,10,43,0
abdul-samad,faced,shakib-al-hasan,6,3,0
abdul-samad,faced,shardul-thakur,19,22,1
abdul-samad,faced,shashank-singh,5,12,0
abdul-samad,faced,sunil-narine,9,14,0
abdul-samad,faced,thangarasu-natarajan,9,20,1
abdul-samad,faced,trent-boult,9,7,1
abdul-samad,faced,vaibhav-arora,5,7,0
abdul-samad,faced,vijaykumar-vyshak,10,21,0
abdul-samad,faced,vipraj-nigam,5,7,0
abdul-samad,faced,yash-thakur,15,26,0
abdul-samad,faced,yuzvendra-chahal,18,21,2
abdul-samad,plays_for,lsg,,,
abhinandan-singh,plays_for,rcb,,,
abhishek-sharma,dismissed_by,ad-russell,,,2
abhishek-sharma,dismissed_by,am-ghazanfar,,,1
abhishek-sharma,dismissed_by,arshdeep-singh,,,1
