id,type,name,canonical_url,role,battingHandedness,bowlingStyle,nationality,leagues
csk,franchise,Chennai Super Kings,https://players.cricketstudio.ai/teams/csk,,,,,
dc,franchise,Delhi Capitals,https://players.cricketstudio.ai/teams/dc,,,,,
gt,franchise,Gujarat Titans,https://players.cricketstudio.ai/teams/gt,,,,,
kkr,franchise,Kolkata Knight Riders,https://players.cricketstudio.ai/teams/kkr,,,,,
lsg,franchise,Lucknow Super Giants,https://players.cricketstudio.ai/teams/lsg,,,,,
mi,franchise,Mumbai Indians,https://players.cricketstudio.ai/teams/mi,,,,,
pbks,franchise,Punjab Kings,https://players.cricketstudio.ai/teams/pbks,,,,,
rcb,franchise,Royal Challengers Bengaluru,https://players.cricketstudio.ai/teams/rcb,,,,,
rr,franchise,Rajasthan Royals,https://players.cricketstudio.ai/teams/rr,,,,,
srh,franchise,Sunrisers Hyderabad,https://players.cricketstudio.ai/teams/srh,,,,,
pathum-nissanka,player,Pathum Nissanka,https://players.cricketstudio.ai/players/pathum-nissanka,batter,right,,Indian,ipl
xavier-bartlett,player,Xavier Bartlett,https://players.cricketstudio.ai/players/xavier-bartlett,bowler,right,right arm fast medium,Indian,ipl|ipl-historical|mlc
ruturaj-gaikwad,player,Ruturaj Gaikwad,https://players.cricketstudio.ai/players/ruturaj-gaikwad,batter,right,right arm offbreak,Indian,ipl|ipl-historical
rahul-chahar,player,Rahul Chahar,https://players.cricketstudio.ai/players/rahul-chahar,bowler,right,legbreak googly,Indian,ipl|ipl-historical
shubman-gill,player,Shubman Gill,https://players.cricketstudio.ai/players/shubman-gill,batter,right,right arm offbreak,Indian,ipl|ipl-historical
abhishek-sharma,player,Abhishek Sharma,https://players.cricketstudio.ai/players/abhishek-sharma,batter,left,slow left arm orthodox,Indian,ipl|ipl-historical
yash-thakur,player,Yash Thakur,https://players.cricketstudio.ai/players/yash-thakur,bowler,right,right arm fast medium,Indian,ipl|ipl-historical
dewald-brevis,player,Dewald Brevis,https://players.cricketstudio.ai/players/dewald-brevis,batter,right,legbreak,Indian,ipl|ipl-historical|mlc
cameron-green,player,Cameron Green,https://players.cricketstudio.ai/players/cameron-green,all-rounder,right,right arm fast medium,Indian,ipl|ipl-historical
riyan-parag,player,Riyan Parag,https://players.cricketstudio.ai/players/riyan-parag,all-rounder,right,legbreak,Indian,ipl|ipl-historical
ramandeep-singh,player,Ramandeep Singh,https://players.cricketstudio.ai/players/ramandeep-singh,batter,right,right arm fast medium,Indian,ipl|ipl-historical
shivam-mavi,player,Shivam Mavi,https://players.cricketstudio.ai/players/shivam-mavi,bowler,right,right arm fast medium,Indian,ipl-historical
mayank-markande,player,Mayank Markande,https://players.cricketstudio.ai/players/mayank-markande,bowler,right,legbreak,Indian,ipl|ipl-historical
kulwant-khejroliya,player,Kulwant Khejroliya,https://players.cricketstudio.ai/players/kulwant-khejroliya,bowler,left,left arm fast medium,Indian,ipl|ipl-historical
